,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,68,21,67,5,29,4,26,4,3,4,,1,4,6,8,6,2,10,,7.0,1,2.0,,,1.0,2.0
1981,68,13,71,15,27,2,33,8,6,1,4.0,1,4,6,9,4,4,20,1.0,2.0,1,,,2.0,1.0,1.0
1982,61,27,57,9,36,1,34,7,6,3,2.0,1,4,7,14,7,5,14,2.0,3.0,4,1.0,,1.0,,2.0
1983,83,30,86,14,31,1,20,7,3,5,3.0,2,5,8,8,6,4,23,1.0,1.0,2,1.0,,,,3.0
1984,71,31,66,8,32,1,26,13,5,4,4.0,2,13,5,5,6,5,26,1.0,2.0,11,2.0,,,,
1985,87,35,87,5,23,3,18,15,3,5,5.0,2,9,10,5,4,2,25,1.0,6.0,7,5.0,,1.0,,2.0
1986,85,27,66,13,33,4,30,14,4,8,2.0,1,7,3,6,7,3,26,,4.0,7,1.0,2.0,1.0,,2.0
1987,110,42,82,10,37,5,24,19,3,8,5.0,5,8,3,6,3,5,41,,1.0,1,2.0,,3.0,1.0,4.0
1988,114,36,81,22,37,2,36,13,4,3,4.0,4,8,4,11,4,7,27,3.0,6.0,9,2.0,4.0,,,2.0
1989,118,46,89,23,40,3,29,15,7,6,9.0,2,18,6,10,5,12,35,1.0,3.0,6,2.0,7.0,2.0,1.0,
1990,177,40,113,23,51,7,33,7,5,18,6.0,4,10,1,8,6,6,29,2.0,8.0,6,2.0,6.0,3.0,,2.0
1991,167,38,89,22,52,6,33,18,9,11,6.0,5,17,5,8,8,4,43,,2.0,2,1.0,11.0,3.0,1.0,3.0
1992,170,43,94,20,47,5,43,12,3,12,1.0,4,17,1,10,5,4,37,,4.0,8,2.0,8.0,,1.0,2.0
1993,211,43,131,19,51,1,47,27,7,22,7.0,10,12,3,6,3,2,43,2.0,4.0,8,1.0,13.0,,,2.0
1994,204,40,110,14,61,9,55,32,9,22,7.0,8,22,6,11,1,10,35,,1.0,5,2.0,2.0,2.0,2.0,5.0
1995,188,40,118,18,65,8,39,22,11,16,4.0,7,24,6,11,6,6,50,1.0,4.0,11,5.0,7.0,2.0,1.0,4.0
1996,224,50,144,31,78,8,47,17,6,29,1.0,10,17,2,8,6,4,46,,3.0,10,2.0,4.0,4.0,,10.0
1997,191,54,123,22,60,4,57,15,6,26,1.0,5,13,5,14,9,8,44,2.0,,2,1.0,3.0,2.0,3.0,21.0
1998,182,48,128,18,62,7,48,14,4,22,3.0,8,19,4,5,2,5,54,4.0,5.0,10,3.0,2.0,4.0,1.0,18.0
1999,212,56,155,17,64,5,36,24,6,22,4.0,11,30,4,19,4,7,50,,5.0,7,5.0,2.0,3.0,,8.0
2000,273,108,168,62,108,25,63,28,16,42,7.0,25,47,1,10,7,2,57,5.0,9.0,27,19.0,3.0,3.0,,3.0
2001,329,124,217,62,141,15,61,39,21,55,2.0,18,42,4,11,8,3,56,3.0,4.0,35,31.0,4.0,,1.0,9.0
2002,343,122,228,74,166,38,62,30,14,50,6.0,26,32,4,13,6,11,50,2.0,8.0,25,24.0,2.0,3.0,,14.0
2003,383,133,204,74,176,41,86,29,21,53,8.0,21,60,8,12,8,6,42,9.0,9.0,48,20.0,2.0,2.0,,8.0
2004,495,141,241,77,175,30,79,45,17,60,11.0,31,54,5,18,9,5,72,2.0,9.0,43,42.0,7.0,7.0,1.0,16.0
2005,410,183,259,106,171,39,83,40,32,61,15.0,25,61,7,14,8,5,55,2.0,10.0,34,24.0,1.0,6.0,1.0,9.0
2006,518,167,350,77,181,31,96,51,18,74,8.0,43,48,3,12,7,7,73,4.0,11.0,34,22.0,5.0,5.0,,12.0
2007,475,206,274,47,236,24,84,39,15,59,3.0,50,50,3,18,7,10,58,4.0,7.0,37,31.0,2.0,5.0,,9.0
2008,625,208,324,65,203,34,86,43,26,76,7.0,39,61,3,14,7,3,93,5.0,8.0,40,33.0,8.0,6.0,,6.0
2009,660,211,343,74,255,37,96,41,39,84,10.0,38,78,2,20,8,5,98,9.0,5.0,44,41.0,16.0,5.0,2.0,10.0
2010,799,219,361,77,267,46,121,61,36,108,11.0,52,60,9,26,19,14,95,3.0,14.0,70,23.0,14.0,3.0,,6.0
2011,843,283,376,87,295,58,126,60,42,84,11.0,77,88,6,23,8,14,117,9.0,15.0,52,44.0,14.0,6.0,2.0,8.0
2012,956,379,442,101,317,52,124,71,54,118,12.0,95,104,21,25,15,10,134,10.0,18.0,72,42.0,14.0,10.0,2.0,10.0
2013,1073,447,505,118,396,95,144,71,55,144,19.0,147,125,9,27,13,15,144,13.0,12.0,76,51.0,7.0,14.0,1.0,3.0
2014,1206,495,675,161,499,114,168,114,65,124,22.0,235,169,12,31,26,15,147,9.0,37.0,84,100.0,9.0,10.0,6.0,12.0
2015,1243,547,702,147,468,115,184,119,65,140,31.0,305,182,23,27,24,18,156,13.0,37.0,103,98.0,13.0,8.0,4.0,11.0
2016,1267,631,775,180,535,134,192,134,77,127,28.0,409,192,23,38,16,21,134,17.0,19.0,95,82.0,12.0,11.0,1.0,15.0
2017,1399,788,841,214,526,140,208,162,80,182,39.0,521,284,20,36,10,24,146,6.0,40.0,119,138.0,10.0,14.0,8.0,10.0
2018,1487,867,981,238,584,144,223,187,112,172,33.0,631,303,21,26,28,17,137,19.0,39.0,111,138.0,14.0,14.0,4.0,16.0
2019,1545,1062,1097,293,698,212,232,228,117,267,63.0,873,415,30,32,19,18,170,21.0,43.0,162,194.0,9.0,8.0,3.0,18.0
2020,1871,1280,1285,339,823,217,267,267,155,277,73.0,723,428,28,49,20,26,178,25.0,109.0,177,190.0,13.0,17.0,2.0,21.0
2021,1998,1363,1440,394,936,277,332,353,209,318,48.0,852,500,38,45,24,27,190,35.0,99.0,188,206.0,22.0,16.0,5.0,24.0
2022,2004,1559,1299,449,897,325,317,355,182,345,79.0,850,526,32,43,32,25,168,38.0,129.0,175,178.0,20.0,12.0,3.0,13.0
2023,2130,1668,1286,470,903,391,339,371,175,365,71.0,1003,575,31,39,31,34,165,29.0,108.0,174,227.0,15.0,25.0,8.0,23.0
2024,2171,1737,1193,527,937,376,318,347,159,355,100.0,818,558,33,46,48,37,210,49.0,126.0,201,175.0,24.0,26.0,6.0,11.0
